,zipcode,population,land_area,pop_density,water_area,income,nearby_schools
0,98103,43690,4.64,9415.948275862069,0.66,92079.2947,12
1,98115,45920,6.58,6978.723404255319,2.11,109682.0867,18
2,98117,31850,3.94,8083.756345177665,0.61,102095.3462,7
3,98034,46310,9.13,5072.289156626505,1.69,90669.5548,16
4,98052,63200,20.1,3144.278606965174,0.83,128852.4797,18
5,98118,43140,6.25,6902.4,2.64,61688.6784,15
6,98038,33330,66.49,501.2783877274779,0.39,94050.8899,8
7,98133,41010,7.1,5776.056338028169,0.07,57958.9154,18
8,98023,46990,10.32,4553.29457364341,1.39,68203.5544,17
9,98042,44510,28.41,1566.7018655403026,1.21,74971.6315,14
10,98155,31940,7.57,4219.286657859973,0.66,76355.1567,13
11,98059,37040,19.98,1853.8538538538537,0.06,93353.9564,10
12,98058,40630,18.93,2146.3285789751717,0.83,70663.2367,17
13,98125,34800,5.39,6456.400742115028,1.54,68721.773,12
14,98056,33670,7.52,4477.393617021276,1.55,76475.4891,9
15,98074,27690,10.68,2592.696629213483,1.55,180392.2347,11
16,98006,39330,10.69,3679.1393826005615,0.75,157913.8651,15
17,98126,19350,3.07,6302.931596091205,0.69,76437.4771,6
18,98033,35020,9.29,3769.644779332616,1.71,178084.9708,15
19,98106,22990,5.5,4180.0,0.32,53516.1776,9
20,98001,30930,18.59,1663.7977407208177,0.32,63983.9216,13
21,98144,26430,3.4,7773.529411764706,1.75,85068.099,10
22,98116,22890,2.96,7733.108108108108,0.73,108778.5924,10
23,98029,26010,8.95,2906.1452513966483,0.02,127424.6872,12
24,98146,26420,4.65,5681.720430107526,0.68,61578.6798,15
25,98065,14680,74.09,198.13740045890134,0.87,128773.3553,7
26,98028,20900,5.66,3692.579505300353,0.72,94609.0141,6
27,98198,34700,7.79,4454.428754813864,0.9,57402.0022,10
28,98122,27810,2.31,12038.961038961039,1.22,89902.9093,14
29,98003,42660,11.62,3671.256454388985,0.11,50548.9971,26
30,98107,21950,2.2,9977.272727272726,0.27,87177.2818,4
31,98031,39770,7.5,5302.666666666667,0.1,56754.3996,15
32,98092,41730,44.63,935.0212861304055,0.71,73882.945,14
33,98178,23590,4.85,4863.917525773196,1.02,54145.4032,8
34,98008,24670,5.5,4485.454545454545,2.85,116675.9504,11
35,98027,26600,55.79,476.7879548306148,1.13,122790.6182,9
36,98168,35180,8.89,3957.2553430821145,0.16,44192.3431,12
37,98055,20820,4.78,4355.648535564854,0.1,59878.8173,11
38,98136,14590,2.3,6343.478260869566,0.84,120567.2577,2
39,98199,19730,4.18,4720.095693779905,1.5,145409.8643,3
40,98030,34210,7.12,4804.775280898876,0.09,50136.1572,12
41,98053,21100,28.37,743.7433909058865,0.18,164682.4268,8
42,98075,24000,9.48,2531.645569620253,1.63,192986.1224,7
43,98166,20870,5.67,3680.7760141093477,1.56,84202.4096,7
44,98177,19230,5.7,3373.684210526316,1.38,136631.5789,5
45,98002,31620,7.15,4422.377622377622,0.13,43078.1676,13
46,98011,23250,8.19,2838.827838827839,0.0,88081.6598,16
47,98108,22600,7.48,3021.3903743315504,0.37,54571.6091,11
48,98105,24660,4.13,5970.944309927361,2.48,118758.1098,6
49,98022,19950,405.93,49.146404552509054,2.45,69526.7633,8
50,98072,24190,18.13,1334.2526199669057,0.03,122936.7987,6
51,98019,11830,76.33,154.98493383990566,0.82,99603.3149,4
52,98112,19850,3.16,6281.645569620253,1.48,235748.3238,8
53,98045,14210,336.99,42.16742336567851,6.04,94331.1203,6
54,98119,19130,2.44,7840.163934426229,0.63,122344.3842,6
55,98040,24180,6.32,3825.9493670886072,6.79,274061.2026,10
56,98004,30610,7.03,4354.1963015647225,1.61,254763.4276,9
57,98188,24670,7.55,3267.5496688741723,0.29,45630.8053,7
58,98007,25490,4.38,5819.634703196347,0.01,85339.5931,10
59,98032,34040,16.72,2035.885167464115,0.29,53444.3114,5
