,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,renovated,zipcode,lat,long,sqft_living15,sqft_lot15,average_room_size,floor_area_ratio,bedroom_bathroom_ratio,Seattle_dist_km,Redmond_dist_km,Redmond_Seattle_total_dist,population,land_area,pop_density,water_area,income,nearby_schools
0,1330000.0,2,2.25,3200,20158,1.0,NO,NONE,Average,8 Good,1600,1.0,1965,0.0,98004,47.6303,-122.215,3390,20158,752.9411764705883,0.1587459073320766,1.125,9.07550549361605,8.34872407604011,17.424229569656163,30610,7.03,4354.1963015647225,1.61,254763.4276,9
1,1090000.0,1,2.5,2920,8113,2.0,NO,NONE,Average,8 Good,2920,0.0,1950,1.0,98004,47.5814,-122.196,2370,8113,834.2857142857143,0.3599161839023789,2.5,10.367021306938993,11.94057979817155,22.307601105110543,30610,7.03,4354.1963015647225,1.61,254763.4276,9
2,1450000.0,2,2.75,2750,17789,1.5,NO,NONE,Average,8 Good,1980,1.0,1914,1.0,98004,47.6141,-122.212,3060,11275,578.9473684210526,0.15458991511608297,1.375,8.902500743842133,9.476318375055909,18.378819118898043,30610,7.03,4354.1963015647225,1.61,254763.4276,9
3,1300000.0,1,2.0,2350,15021,1.0,NO,NONE,Good,8 Good,1770,1.0,1976,,98004,47.6408,-122.219,3530,15715,783.3333333333334,0.15644763997070768,2.0,9.236705783028077,7.887144744678993,17.12385052770707,30610,7.03,4354.1963015647225,1.61,254763.4276,9
4,1270000.0,2,2.5,3200,17204,1.0,,NONE,Average,7 Average,2160,1.0,1952,0.0,98004,47.6209,-122.222,4090,15732,711.1111111111111,0.1860032550569635,1.25,8.290327593406294,9.439265457407412,17.729593050813705,30610,7.03,4354.1963015647225,1.61,254763.4276,9
5,1320000.0,1,3.0,2230,12968,2.0,NO,NONE,Average,9 Better,2230,0.0,1990,0.0,98004,47.6271,-122.197,2260,10160,557.5,0.17196175200493521,3.0,10.272278300922364,7.646980700169417,17.91925900109178,30610,7.03,4354.1963015647225,1.61,254763.4276,9
6,2260000.0,1,3.5,3110,14872,1.0,NO,NONE,Average,10 Very Good,3110,0.0,2003,,98004,47.6178,-122.209,3110,12433,691.1111111111111,0.2091178052716514,3.5,9.182311284311137,9.017219371264938,18.199530655576076,30610,7.03,4354.1963015647225,1.61,254763.4276,9
7,1380000.0,1,1.5,1850,10572,1.0,NO,NONE,Good,8 Good,1850,0.0,1953,0.0,98004,47.6194,-122.208,3030,12752,740.0,0.17499054105183504,1.5,9.286080139590437,8.833614266081401,18.119694405671837,30610,7.03,4354.1963015647225,1.61,254763.4276,9
8,1430000.0,2,2.5,3380,27589,2.0,NO,NONE,Average,10 Very Good,3380,0.0,1966,0.0,98004,47.6292,-122.225,3390,20075,751.1111111111111,0.12251259559969553,1.25,8.326672049955548,9.004593257981774,17.331265307937322,30610,7.03,4354.1963015647225,1.61,254763.4276,9
9,1550000.0,2,2.5,2450,20805,2.0,NO,NONE,Good,9 Better,2450,0.0,1963,0.0,98004,47.6275,-122.227,3020,20324,544.4444444444445,0.11776015380918048,1.25,8.12412599710217,9.239475202868075,17.363601199970248,30610,7.03,4354.1963015647225,1.61,254763.4276,9
10,1400000.0,2,2.5,2770,8879,2.0,NO,NONE,Average,9 Better,2770,0.0,2001,0.0,98004,47.5831,-122.193,2770,8882,615.5555555555555,0.31197206892668095,1.25,10.540466388445173,11.676614753943342,22.217081142388516,30610,7.03,4354.1963015647225,1.61,254763.4276,9
11,1540000.0,2,2.75,4910,15139,1.0,NO,NONE,Good,10 Very Good,2560,1.0,1964,0.0,98004,47.6444,-122.22,3980,15139,1033.6842105263158,0.3243278948411388,1.375,9.351781445782192,7.741620733433886,17.093402179216078,30610,7.03,4354.1963015647225,1.61,254763.4276,9
12,1600000.0,1,2.5,3160,12824,1.0,NO,AVERAGE,Good,9 Better,1820,1.0,1966,0.0,98004,47.6151,-122.216,3390,11985,902.8571428571429,0.2464129756706176,2.5,8.619193153724291,9.588771524552516,18.20796467827681,30610,7.03,4354.1963015647225,1.61,254763.4276,9
